Specimen properties : Specimen label,"sample1"
Specimen properties : Diameter,"0.39900",mm
Specimen properties : Length,"14.33000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Delta,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.71667","1.95292","15.61883","19.29600","0.00000","1.95292","0.71667","0.05001"
"0.71667","1.95495","15.63506","19.39600","0.00000","1.95495","0.71667","0.05001"
"0.71667","1.95173","15.60930","19.49600","0.00000","1.95173","0.71667","0.05001"
"0.71667","1.94755","15.57592","19.59600","0.00000","1.94755","0.71667","0.05001"
"0.71667","1.95151","15.60755","19.69600","0.00000","1.95151","0.71667","0.05001"
"0.71667","1.94303","15.53973","19.79600","0.00000","1.94303","0.71667","0.05001"
"0.71667","1.94883","15.58611","19.89600","0.00000","1.94883","0.71667","0.05001"
"0.71667","1.93775","15.49753","19.99600","0.00000","1.93775","0.71667","0.05001"
"0.71667","1.94178","15.52973","20.09600","0.00000","1.94178","0.71667","0.05001"
"0.71667","1.93719","15.49306","20.19600","0.00000","1.93719","0.71667","0.05001"
"0.71667","1.93371","15.46523","20.29600","0.00000","1.93371","0.71667","0.05001"
"0.71667","1.93527","15.47766","20.39600","0.00000","1.93527","0.71667","0.05001"
"0.71667","1.93353","15.46377","20.49600","0.00000","1.93353","0.71667","0.05001"
"0.71667","1.92841","15.42280","20.59600","0.00000","1.92841","0.71667","0.05001"
"0.71667","1.92260","15.37638","20.69600","0.00000","1.92260","0.71667","0.05001"
"0.71667","1.92476","15.39363","20.79600","0.00000","1.92476","0.71667","0.05001"
"0.71667","1.92511","15.39646","20.89600","0.00000","1.92511","0.71667","0.05001"
"0.71667","1.91801","15.33966","20.99600","0.00000","1.91801","0.71667","0.05001"
"0.71667","1.91344","15.30306","21.09600","0.00000","1.91344","0.71667","0.05001"
"0.71667","1.91214","15.29271","21.19600","0.00000","1.91214","0.71667","0.05001"
"0.71667","1.91430","15.30995","21.29600","0.00000","1.91430","0.71667","0.05001"
"0.71667","1.91904","15.34785","21.39600","0.00000","1.91904","0.71667","0.05001"
"0.71667","1.91284","15.29829","21.49600","0.00000","1.91284","0.71667","0.05001"
"0.71667","1.91369","15.30509","21.59600","0.00000","1.91369","0.71667","0.05001"
"0.71667","1.90922","15.26935","21.69600","0.00000","1.90922","0.71667","0.05001"
"0.71667","1.91224","15.29348","21.79600","0.00000","1.91224","0.71667","0.05001"
"0.71667","1.90846","15.26328","21.89600","0.00000","1.90846","0.71667","0.05001"
"0.71667","1.90681","15.25003","21.99600","0.00000","1.90681","0.71667","0.05001"
"0.71667","1.90548","15.23941","22.09600","0.00000","1.90548","0.71667","0.05001"
"0.71667","1.90278","15.21780","22.19600","0.00000","1.90278","0.71667","0.05001"
"0.71667","1.90509","15.23634","22.29600","0.00000","1.90509","0.71667","0.05001"
"0.71667","1.89823","15.18148","22.39600","0.00000","1.89823","0.71667","0.05001"
"0.71667","1.90148","15.20744","22.49600","0.00000","1.90148","0.71667","0.05001"
"0.71667","1.89094","15.12315","22.59600","0.00000","1.89094","0.71667","0.05001"
"0.71667","1.89214","15.13272","22.69600","0.00000","1.89214","0.71667","0.05001"
"0.71667","1.89008","15.11627","22.79600","0.00000","1.89008","0.71667","0.05001"
"0.71667","1.89138","15.12667","22.89600","0.00000","1.89138","0.71667","0.05001"
"0.71667","1.89194","15.13117","22.99600","0.00000","1.89194","0.71667","0.05001"
"0.71667","1.89321","15.14129","23.09600","0.00000","1.89321","0.71667","0.05001"
"0.71667","1.88927","15.10977","23.19600","0.00000","1.88927","0.71667","0.05001"
"0.71667","1.88648","15.08751","23.29600","0.00000","1.88648","0.71667","0.05001"
"0.71667","1.88395","15.06726","23.39600","0.00000","1.88395","0.71667","0.05001"
"0.71667","1.88135","15.04646","23.49600","0.00000","1.88135","0.71667","0.05001"
"0.71667","1.87908","15.02828","23.59600","0.00000","1.87908","0.71667","0.05001"
"0.71667","1.88426","15.06969","23.69600","0.00000","1.88426","0.71667","0.05001"
"0.71667","1.87894","15.02714","23.79600","0.00000","1.87894","0.71667","0.05001"
"0.71667","1.87856","15.02417","23.89600","0.00000","1.87856","0.71667","0.05001"
"0.71667","1.88059","15.04038","23.99600","0.00000","1.88059","0.71667","0.05001"
"0.71667","1.87805","15.02005","24.09600","0.00000","1.87805","0.71667","0.05001"
"0.71667","1.86877","14.94581","24.19600","0.00000","1.86877","0.71667","0.05001"
"0.71667","1.87405","14.98810","24.29600","0.00000","1.87405","0.71667","0.05001"
"0.71667","1.87384","14.98635","24.39600","0.00000","1.87384","0.71667","0.05001"
"0.71667","1.86901","14.94772","24.49600","0.00000","1.86901","0.71667","0.05001"
"0.71667","1.86904","14.94801","24.59600","0.00000","1.86904","0.71667","0.05001"
"0.71667","1.87231","14.97417","24.69600","0.00000","1.87231","0.71667","0.05001"
"0.71667","1.85925","14.86967","24.79600","0.00000","1.85925","0.71667","0.05001"
"0.71667","1.86915","14.94888","24.89600","0.00000","1.86915","0.71667","0.05001"
"0.71667","1.86134","14.88640","24.99600","0.00000","1.86134","0.71667","0.05001"
"0.71667","1.86496","14.91535","25.09600","0.00000","1.86496","0.71667","0.05001"
"0.71667","1.85262","14.81664","25.19600","0.00000","1.85262","0.71667","0.05001"
"0.71667","1.86564","14.92080","25.29600","0.00000","1.86564","0.71667","0.05001"
"0.71667","1.85926","14.86981","25.39600","0.00000","1.85926","0.71667","0.05001"
"0.71667","1.84950","14.79173","25.49600","0.00000","1.84950","0.71667","0.05001"
"0.71667","1.85520","14.83734","25.59600","0.00000","1.85520","0.71667","0.05001"
"0.71667","1.85489","14.83481","25.69600","0.00000","1.85489","0.71667","0.05001"
"0.71667","1.84924","14.78964","25.79600","0.00000","1.84924","0.71667","0.05001"
"0.71667","1.85684","14.85044","25.89600","0.00000","1.85684","0.71667","0.05001"
"0.71667","1.85567","14.84107","25.99600","0.00000","1.85567","0.71667","0.05001"
