Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.37600",mm
Specimen properties : Length,"12.02000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.60062","1.00471","9.04845","17.80800","0.00000","1.00471","0.60062","0.04997"
"0.60062","1.00594","9.05952","17.90800","0.00000","1.00594","0.60062","0.04997"
"0.60062","1.00954","9.09196","18.00800","0.00000","1.00954","0.60062","0.04997"
"0.60062","1.00292","9.03239","18.10800","0.00000","1.00292","0.60062","0.04997"
"0.60062","1.00335","9.03626","18.20800","0.00000","1.00335","0.60062","0.04997"
"0.60062","1.00718","9.07071","18.30800","0.00000","1.00718","0.60062","0.04997"
"0.60062","0.99933","9.00001","18.40800","0.00000","0.99933","0.60062","0.04997"
"0.60062","1.00056","9.01112","18.50800","0.00000","1.00056","0.60062","0.04997"
"0.60062","0.99680","8.97726","18.60800","0.00000","0.99680","0.60062","0.04997"
"0.60062","1.00262","9.02966","18.70800","0.00000","1.00262","0.60062","0.04997"
"0.60062","1.00453","9.04683","18.80800","0.00000","1.00453","0.60062","0.04997"
"0.60062","0.99252","8.93865","18.90800","0.00000","0.99252","0.60062","0.04997"
"0.60062","0.99389","8.95103","19.00800","0.00000","0.99389","0.60062","0.04997"
"0.60062","0.99492","8.96034","19.10800","0.00000","0.99492","0.60062","0.04997"
"0.60062","0.99654","8.97486","19.20800","0.00000","0.99654","0.60062","0.04997"
"0.60062","0.99403","8.95231","19.30800","0.00000","0.99403","0.60062","0.04997"
"0.60062","0.99478","8.95901","19.40800","0.00000","0.99478","0.60062","0.04997"
"0.60062","0.99759","8.98432","19.50800","0.00000","0.99759","0.60062","0.04997"
"0.60062","0.99011","8.91699","19.60800","0.00000","0.99011","0.60062","0.04997"
"0.60062","0.99029","8.91864","19.70800","0.00000","0.99029","0.60062","0.04997"
"0.60062","0.99149","8.92938","19.80800","0.00000","0.99149","0.60062","0.04997"
"0.60062","0.99107","8.92565","19.90800","0.00000","0.99107","0.60062","0.04997"
"0.60062","0.99707","8.97968","20.00800","0.00000","0.99707","0.60062","0.04997"
"0.60062","0.99729","8.98168","20.10800","0.00000","0.99729","0.60062","0.04997"
"0.60062","0.99233","8.93699","20.20800","0.00000","0.99233","0.60062","0.04997"
"0.60062","0.98498","8.87079","20.30800","0.00000","0.98498","0.60062","0.04997"
"0.60062","0.98875","8.90477","20.40800","0.00000","0.98875","0.60062","0.04997"
"0.60062","0.98830","8.90072","20.50800","0.00000","0.98830","0.60062","0.04997"
"0.60062","0.98662","8.88551","20.60800","0.00000","0.98662","0.60062","0.04997"
"0.60062","0.98858","8.90320","20.70800","0.00000","0.98858","0.60062","0.04997"
"0.60062","0.99047","8.92024","20.80800","0.00000","0.99047","0.60062","0.04997"
"0.60062","0.98157","8.84007","20.90800","0.00000","0.98157","0.60062","0.04997"
"0.60062","0.98731","8.89174","21.00800","0.00000","0.98731","0.60062","0.04997"
"0.60062","0.98750","8.89351","21.10800","0.00000","0.98750","0.60062","0.04997"
"0.60062","0.98540","8.87458","21.20800","0.00000","0.98540","0.60062","0.04997"
"0.60062","0.98381","8.86022","21.30800","0.00000","0.98381","0.60062","0.04997"
"0.60062","0.98619","8.88165","21.40800","0.00000","0.98619","0.60062","0.04997"
"0.60062","0.97915","8.81825","21.50800","0.00000","0.97915","0.60062","0.04997"
"0.60062","0.98227","8.84640","21.60800","0.00000","0.98227","0.60062","0.04997"
"0.60062","0.98439","8.86546","21.70800","0.00000","0.98439","0.60062","0.04997"
"0.60062","0.98402","8.86218","21.80800","0.00000","0.98402","0.60062","0.04997"
"0.60062","0.98011","8.82690","21.90800","0.00000","0.98011","0.60062","0.04997"
"0.60062","0.98602","8.88018","22.00800","0.00000","0.98602","0.60062","0.04997"
"0.60062","0.97643","8.79376","22.10800","0.00000","0.97643","0.60062","0.04997"
"0.60062","0.97761","8.80444","22.20800","0.00000","0.97761","0.60062","0.04997"
"0.60062","0.98305","8.85344","22.30800","0.00000","0.98305","0.60062","0.04997"
"0.60062","0.98143","8.83878","22.40800","0.00000","0.98143","0.60062","0.04997"
"0.60062","0.97848","8.81225","22.50800","0.00000","0.97848","0.60062","0.04997"
"0.60062","0.97789","8.80695","22.60800","0.00000","0.97789","0.60062","0.04997"
"0.60062","0.98523","8.87304","22.70800","0.00000","0.98523","0.60062","0.04997"
"0.60062","0.98201","8.84407","22.80800","0.00000","0.98201","0.60062","0.04997"
"0.60062","0.97563","8.78660","22.90800","0.00000","0.97563","0.60062","0.04997"
"0.60062","0.97394","8.77132","23.00800","0.00000","0.97394","0.60062","0.04997"
"0.60062","0.98336","8.85623","23.10800","0.00000","0.98336","0.60062","0.04997"
"0.60062","0.98577","8.87789","23.20800","0.00000","0.98577","0.60062","0.04997"
"0.60062","0.97283","8.76132","23.30800","0.00000","0.97283","0.60062","0.04997"
"0.60062","0.97392","8.77119","23.40800","0.00000","0.97392","0.60062","0.04997"
"0.60062","0.97706","8.79949","23.50800","0.00000","0.97706","0.60062","0.04997"
"0.60062","0.97286","8.76161","23.60800","0.00000","0.97286","0.60062","0.04997"
"0.60062","0.97717","8.80040","23.70800","0.00000","0.97717","0.60062","0.04997"
"0.60062","0.97284","8.76143","23.80800","0.00000","0.97284","0.60062","0.04997"
"0.60062","0.97586","8.78862","23.90800","0.00000","0.97586","0.60062","0.04997"
"0.60062","0.97277","8.76086","24.00800","0.00000","0.97277","0.60062","0.04997"
"0.60062","0.96870","8.72413","24.10800","0.00000","0.96870","0.60062","0.04997"
"0.60062","0.96808","8.71861","24.20800","0.00000","0.96808","0.60062","0.04997"
"0.60062","0.97605","8.79037","24.30800","0.00000","0.97605","0.60062","0.04997"
"0.60062","0.97753","8.80372","24.40800","0.00000","0.97753","0.60062","0.04997"
"0.60062","0.96470","8.68809","24.50800","0.00000","0.96470","0.60062","0.04997"
"0.60062","0.97031","8.73864","24.60800","0.00000","0.97031","0.60062","0.04997"
"0.60062","0.97257","8.75900","24.70800","0.00000","0.97257","0.60062","0.04997"
"0.60062","0.97109","8.74567","24.80800","0.00000","0.97109","0.60062","0.04997"
"0.60062","0.97131","8.74767","24.90800","0.00000","0.97131","0.60062","0.04997"
"0.60062","0.96865","8.72368","25.00800","0.00000","0.96865","0.60062","0.04997"
"0.60062","0.97322","8.76487","25.10800","0.00000","0.97322","0.60062","0.04997"
"0.60062","0.96276","8.67068","25.20800","0.00000","0.96276","0.60062","0.04997"
"0.60062","0.97001","8.73597","25.30800","0.00000","0.97001","0.60062","0.04997"
"0.60062","0.97779","8.80600","25.40800","0.00000","0.97779","0.60062","0.04997"
"0.60062","0.97766","8.80485","25.50800","0.00000","0.97766","0.60062","0.04997"
"0.60062","0.96769","8.71508","25.60800","0.00000","0.96769","0.60062","0.04997"
"0.60062","0.96504","8.69118","25.70800","0.00000","0.96504","0.60062","0.04997"
"0.60062","0.96348","8.67711","25.80800","0.00000","0.96348","0.60062","0.04997"
"0.60062","0.96919","8.72859","25.90800","0.00000","0.96919","0.60062","0.04997"
"0.60062","0.96699","8.70881","26.00800","0.00000","0.96699","0.60062","0.04997"
"0.60062","0.97495","8.78041","26.10800","0.00000","0.97495","0.60062","0.04997"
"0.60062","0.96008","8.64656","26.20800","0.00000","0.96008","0.60062","0.04997"
"0.60062","0.96259","8.66913","26.30800","0.00000","0.96259","0.60062","0.04997"
"0.60062","0.95939","8.64033","26.40800","0.00000","0.95939","0.60062","0.04997"
"0.60062","0.96911","8.72786","26.50800","0.00000","0.96911","0.60062","0.04997"
"0.60062","0.96633","8.70285","26.60800","0.00000","0.96633","0.60062","0.04997"
"0.60062","0.96276","8.67066","26.70800","0.00000","0.96276","0.60062","0.04997"
"0.60062","0.96124","8.65700","26.80800","0.00000","0.96124","0.60062","0.04997"
"0.60062","0.95696","8.61839","26.90800","0.00000","0.95696","0.60062","0.04997"
"0.60062","0.96661","8.70536","27.00800","0.00000","0.96661","0.60062","0.04997"
"0.60062","0.96411","8.68279","27.10800","0.00000","0.96411","0.60062","0.04997"
"0.60062","0.96466","8.68776","27.20800","0.00000","0.96466","0.60062","0.04997"
"0.60062","0.96943","8.73075","27.30800","0.00000","0.96943","0.60062","0.04997"
"0.60062","0.95809","8.62858","27.40800","0.00000","0.95809","0.60062","0.04997"
"0.60062","0.96216","8.66523","27.50800","0.00000","0.96216","0.60062","0.04997"
"0.60062","0.96484","8.68940","27.60800","0.00000","0.96484","0.60062","0.04997"
"0.60062","0.96059","8.65108","27.70800","0.00000","0.96059","0.60062","0.04997"
"0.60062","0.96179","8.66192","27.80800","0.00000","0.96179","0.60062","0.04997"
"0.60062","0.95947","8.64104","27.90800","0.00000","0.95947","0.60062","0.04997"
"0.60062","0.96130","8.65748","28.00800","0.00000","0.96130","0.60062","0.04997"
"0.60062","0.95802","8.62802","28.10800","0.00000","0.95802","0.60062","0.04997"
"0.60062","0.96123","8.65688","28.20800","0.00000","0.96123","0.60062","0.04997"
"0.60062","0.95550","8.60531","28.30800","0.00000","0.95550","0.60062","0.04997"
"0.60062","0.95384","8.59030","28.40800","0.00000","0.95384","0.60062","0.04997"
"0.60062","0.96807","8.71845","28.50800","0.00000","0.96807","0.60062","0.04997"
"0.60062","0.95876","8.63469","28.60800","0.00000","0.95876","0.60062","0.04997"
"0.60062","0.95169","8.57097","28.70800","0.00000","0.95169","0.60062","0.04997"
"0.60062","0.95879","8.63493","28.80800","0.00000","0.95879","0.60062","0.04997"
"0.60062","0.96393","8.68119","28.90800","0.00000","0.96393","0.60062","0.04997"
"0.60062","0.95856","8.63282","29.00800","0.00000","0.95856","0.60062","0.04997"
"0.60062","0.96142","8.65864","29.10800","0.00000","0.96142","0.60062","0.04997"
"0.60062","0.95111","8.56574","29.20800","0.00000","0.95111","0.60062","0.04997"
"0.60062","0.96290","8.67195","29.30800","0.00000","0.96290","0.60062","0.04997"
"0.60062","0.96006","8.64635","29.40800","0.00000","0.96006","0.60062","0.04997"
"0.60062","0.95505","8.60121","29.50800","0.00000","0.95505","0.60062","0.04997"
"0.60062","0.95575","8.60750","29.60800","0.00000","0.95575","0.60062","0.04997"
"0.60062","0.95460","8.59720","29.70800","0.00000","0.95460","0.60062","0.04997"
"0.60062","0.95823","8.62989","29.80800","0.00000","0.95823","0.60062","0.04997"
"0.60062","0.96047","8.65005","29.90800","0.00000","0.96047","0.60062","0.04997"
"0.60062","0.95598","8.60962","30.00800","0.00000","0.95598","0.60062","0.04997"
"0.60062","0.95153","8.56955","30.10800","0.00000","0.95153","0.60062","0.04997"
"0.60062","0.94878","8.54479","30.20800","0.00000","0.94878","0.60062","0.04997"
"0.60062","0.95045","8.55976","30.30800","0.00000","0.95045","0.60062","0.04997"
"0.60062","0.95455","8.59674","30.40800","0.00000","0.95455","0.60062","0.04997"
"0.60062","0.95297","8.58253","30.50800","0.00000","0.95297","0.60062","0.04997"
"0.60062","0.95918","8.63841","30.60800","0.00000","0.95918","0.60062","0.04997"
"0.60062","0.95996","8.64548","30.70800","0.00000","0.95996","0.60062","0.04997"
